,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
1192,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Akatsi,0.842700481,6.206889153,206,253.244898,98
1193,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Jomoro (Half Assini),-2.803220272,5.069507599,210,249.6296296,27
1194,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Kumasi Metro,-1.597187161,6.682059765,348,364.9777778,45
1195,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,East Gonja (Salaga),-0.5339396,8.729157448,203,238.2653061,98
1196,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Cape Coast Municipal,-1.306593895,5.153656006,290,315,29
1197,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Sekyere West (Mampong),-1.180076838,7.199564934,261,287.14,50
1198,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Cape Coast Municipal,-1.306593895,5.153656006,202,248.725,40
1199,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,New Juaben (Koforidua),-0.297512323,6.112612724,376,393.9,120
1200,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Wenchi,-1.944841981,7.677614689,292,311.7111111,45
1201,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515,240,270.18,50
1202,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Akwapim North (Akropong),-0.166071147,5.976426125,290,313.025,40
1203,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Assin North (Assin Fosu),-1.374616981,5.77799511,216,248.1290323,62
1204,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Tano (Bechem),-2.021415234,7.183659077,249,270.4909091,55
1205,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Ga West (Amasaman),-0.397510529,5.664687634,279,306.4102564,39
1206,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Ga West (Amasaman),-0.397510529,5.664687634,371,394.8,40
1207,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Kpando,0.267385125,6.89685154,292,320.625,40
1208,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Motor Vehicle Mech.,Accra Metropolitan,-0.197115257,5.607395649,NA,NA,NA
1209,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Akwapim North (Akropong),-0.166071147,5.976426125,229,260.5,50
1210,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Mfantsiman (Saltpond),-1.006453395,5.201528072,332,365.975,40
1211,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,West Mamprusi (Walewale),-1.117310524,10.33463287,226,245.41,100
1212,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Mech. Eng. Craft Pract.,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,224,256.7391304,23
1213,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Amansie East (Bekwai),-1.37072885,6.383360863,320,336.775,40
